"YEAR","DR_TYPE","FUEL","TIMESLICE","REGION","Val"
"2017","MED","ELC","W10","ATX",0.0694199999999944
"2017","MED","ELC","W11","ATX",0.0694199999999944
"2017","MED","ELC","W12","ATX",0.0694199999999944
"2017","MED","ELC","W13","ATX",0.0694199999999944
"2017","MED","ELC","W14","ATX",0.0694199999999944
"2017","MED","ELC","W15","ATX",0.0694199999999944
"2017","MED","ELC","W16","ATX",0.0694199999999944
"2017","MED","ELC","W17","ATX",0.0694199999999944
"2017","MED","ELC","W18","ATX",0.0694199999999944
"2017","MED","ELC","W19","ATX",0.0694199999999944
"2017","MED","ELC","W20","ATX",0.0694199999999944
"2017","MED","ELC","W21","ATX",0.0694199999999944
"2017","MED","ELC","W22","ATX",0.0694199999999944
"2017","MED","ELC","W23","ATX",0.0694199999999944
"2017","MED","ELC","W24","ATX",0.0694199999999944
"2017","MED","ELC","SF1","ATX",0.142739999999989
"2017","MED","ELC","SF2","ATX",0.142739999999989
"2017","MED","ELC","SF3","ATX",0.142739999999989
"2017","MED","ELC","SF4","ATX",0.142739999999989
"2017","MED","ELC","SF5","ATX",0.142739999999989
"2017","MED","ELC","SF6","ATX",0.142739999999989
"2017","MED","ELC","SF7","ATX",0.142739999999989
"2017","MED","ELC","SF8","ATX",0.142739999999989
"2017","MED","ELC","SF9","ATX",0.142739999999989
"2017","MED","ELC","SF10","ATX",0.142739999999989
"2017","MED","ELC","SF11","ATX",0.142739999999989
"2017","MED","ELC","SF12","ATX",0.142739999999989
"2017","MED","ELC","SF13","ATX",0.142739999999989
"2017","MED","ELC","SF14","ATX",0.142739999999989
"2017","MED","ELC","SF15","ATX",0.142739999999989
"2017","MED","ELC","SF16","ATX",0.142739999999989
"2017","MED","ELC","SF17","ATX",0.142739999999989
"2017","MED","ELC","SF18","ATX",0.142739999999989
"2017","MED","ELC","SF19","ATX",0.142739999999989
"2017","MED","ELC","SF20","ATX",0.142739999999989
"2017","MED","ELC","SF21","ATX",0.142739999999989
"2017","MED","ELC","SF22","ATX",0.142739999999989
"2017","MED","ELC","SF23","ATX",0.142739999999989
"2017","MED","ELC","SF24","ATX",0.142739999999989
"2017","MED","ELC","S1","ATX",0.0725399999999942
"2017","MED","ELC","S2","ATX",0.0725399999999942
"2017","MED","ELC","S3","ATX",0.0725399999999942
"2017","MED","ELC","S4","ATX",0.0725399999999942
"2017","MED","ELC","S5","ATX",0.0725399999999942
"2017","MED","ELC","S6","ATX",0.0725399999999942
"2017","MED","ELC","S7","ATX",0.0725399999999942
"2017","MED","ELC","S8","ATX",0.0725399999999942
"2017","MED","ELC","S9","ATX",0.0725399999999942
"2017","MED","ELC","S10","ATX",0.0725399999999942
"2017","MED","ELC","S11","ATX",0.0725399999999942
"2017","MED","ELC","S12","ATX",0.0725399999999942
"2017","MED","ELC","S13","ATX",0.0725399999999942
"2017","MED","ELC","S14","ATX",0.0725399999999942
"2017","MED","ELC","S15","ATX",0.0725399999999942
"2017","MED","ELC","S16","ATX",0.0725399999999942
"2017","MED","ELC","S17","ATX",0.0725399999999942
"2017","MED","ELC","S18","ATX",0.0725399999999942
"2017","MED","ELC","S19","ATX",0.0725399999999942
"2017","MED","ELC","S20","ATX",0.0725399999999942
"2017","MED","ELC","S21","ATX",0.0725399999999942
"2017","MED","ELC","S22","ATX",0.0725399999999942
"2017","MED","ELC","S23","ATX",0.0725399999999942
"2017","MED","ELC","S24","ATX",0.0725399999999942
"2017","HI","ELC","W1","ATX",0.0694199999999944
"2017","HI","ELC","W2","ATX",0.0694199999999944
"2017","HI","ELC","W3","ATX",0.0694199999999944
"2017","HI","ELC","W4","ATX",0.0694199999999944
"2017","HI","ELC","W5","ATX",0.0694199999999944
"2017","HI","ELC","W6","ATX",0.0694199999999944
"2017","HI","ELC","W7","ATX",0.0694199999999944
"2017","HI","ELC","W8","ATX",0.0694199999999944
"2017","HI","ELC","W9","ATX",0.0694199999999944
"2017","HI","ELC","W10","ATX",0.0694199999999944
"2017","HI","ELC","W11","ATX",0.0694199999999944
"2017","HI","ELC","W12","ATX",0.0694199999999944
"2017","HI","ELC","W13","ATX",0.0694199999999944
"2017","HI","ELC","W14","ATX",0.0694199999999944
"2017","HI","ELC","W15","ATX",0.0694199999999944
"2017","HI","ELC","W16","ATX",0.0694199999999944
"2017","HI","ELC","W17","ATX",0.0694199999999944
"2017","HI","ELC","W18","ATX",0.0694199999999944
"2017","HI","ELC","W19","ATX",0.0694199999999944
"2017","HI","ELC","W20","ATX",0.0694199999999944
"2017","HI","ELC","W21","ATX",0.0694199999999944
"2017","HI","ELC","W22","ATX",0.0694199999999944
"2017","HI","ELC","W23","ATX",0.0694199999999944
"2017","HI","ELC","W24","ATX",0.0694199999999944
"2017","HI","ELC","SF1","ATX",0.142739999999989
"2017","HI","ELC","SF2","ATX",0.142739999999989
"2017","HI","ELC","SF3","ATX",0.142739999999989
"2017","HI","ELC","SF4","ATX",0.142739999999989
"2017","HI","ELC","SF5","ATX",0.142739999999989
"2017","HI","ELC","SF6","ATX",0.142739999999989
"2017","HI","ELC","SF7","ATX",0.142739999999989
"2017","HI","ELC","SF8","ATX",0.142739999999989
"2017","HI","ELC","SF9","ATX",0.142739999999989
"2017","HI","ELC","SF10","ATX",0.142739999999989
"2017","HI","ELC","SF11","ATX",0.142739999999989
"2017","HI","ELC","SF12","ATX",0.142739999999989
"2017","HI","ELC","SF13","ATX",0.142739999999989
"2017","HI","ELC","SF14","ATX",0.142739999999989
"2017","HI","ELC","SF15","ATX",0.142739999999989
"2017","HI","ELC","SF16","ATX",0.142739999999989
"2017","HI","ELC","SF17","ATX",0.142739999999989
"2017","HI","ELC","SF18","ATX",0.142739999999989
"2017","HI","ELC","SF19","ATX",0.142739999999989
"2017","HI","ELC","SF20","ATX",0.142739999999989
"2017","HI","ELC","SF21","ATX",0.142739999999989
"2017","HI","ELC","SF22","ATX",0.142739999999989
"2017","HI","ELC","SF23","ATX",0.142739999999989
"2017","HI","ELC","SF24","ATX",0.142739999999989
"2017","HI","ELC","S1","ATX",0.0725399999999942
"2017","HI","ELC","S2","ATX",0.0725399999999942
"2017","HI","ELC","S3","ATX",0.0725399999999942
"2017","HI","ELC","S4","ATX",0.0725399999999942
"2017","HI","ELC","S5","ATX",0.0725399999999942
"2017","HI","ELC","S6","ATX",0.0725399999999942
"2017","HI","ELC","S7","ATX",0.0725399999999942
"2017","HI","ELC","S8","ATX",0.0725399999999942
"2017","HI","ELC","S9","ATX",0.0725399999999942
"2017","HI","ELC","S10","ATX",0.0725399999999942
"2017","HI","ELC","S11","ATX",0.0725399999999942
"2017","HI","ELC","S12","ATX",0.0725399999999942
"2017","HI","ELC","S13","ATX",0.0725399999999942
"2017","HI","ELC","S14","ATX",0.0725399999999942
"2017","HI","ELC","S15","ATX",0.0725399999999942
"2017","HI","ELC","S16","ATX",0.0725399999999942
"2017","HI","ELC","S17","ATX",0.0725399999999942
"2017","HI","ELC","S18","ATX",0.0725399999999942
"2017","HI","ELC","S19","ATX",0.0725399999999942
"2017","HI","ELC","S20","ATX",0.0725399999999942
"2017","HI","ELC","S21","ATX",0.0725399999999942
"2017","HI","ELC","S22","ATX",0.0725399999999942
"2017","HI","ELC","S23","ATX",0.0725399999999942
"2017","HI","ELC","S24","ATX",0.0725399999999942
"2018","LO","ELC","W1","ATX",0.0711999999999943
"2018","LO","ELC","W2","ATX",0.0711999999999943
"2018","LO","ELC","W3","ATX",0.0711999999999943
"2018","LO","ELC","W4","ATX",0.0711999999999943
"2018","LO","ELC","W5","ATX",0.0711999999999943
"2018","LO","ELC","W6","ATX",0.0711999999999943
"2018","LO","ELC","W7","ATX",0.0711999999999943
"2018","LO","ELC","W8","ATX",0.0711999999999943
"2018","LO","ELC","W9","ATX",0.0711999999999943
"2018","LO","ELC","W10","ATX",0.0711999999999943
"2018","LO","ELC","W11","ATX",0.0711999999999943
"2018","LO","ELC","W12","ATX",0.0711999999999943
"2018","LO","ELC","W13","ATX",0.0711999999999943
"2018","LO","ELC","W14","ATX",0.0711999999999943
"2018","LO","ELC","W15","ATX",0.0711999999999943
"2018","LO","ELC","W16","ATX",0.0711999999999943
"2018","LO","ELC","W17","ATX",0.0711999999999943
"2018","LO","ELC","W18","ATX",0.0711999999999943
"2018","LO","ELC","W19","ATX",0.0711999999999943
"2018","LO","ELC","W20","ATX",0.0711999999999943
"2018","LO","ELC","W21","ATX",0.0711999999999943
"2018","LO","ELC","W22","ATX",0.0711999999999943
"2018","LO","ELC","W23","ATX",0.0711999999999943
"2018","LO","ELC","W24","ATX",0.0711999999999943
"2018","LO","ELC","SF1","ATX",0.146399999999988
"2018","LO","ELC","SF2","ATX",0.146399999999988
"2018","LO","ELC","SF3","ATX",0.146399999999988
"2018","LO","ELC","SF4","ATX",0.146399999999988
"2018","LO","ELC","SF5","ATX",0.146399999999988
"2018","LO","ELC","SF6","ATX",0.146399999999988
"2018","LO","ELC","SF7","ATX",0.146399999999988
"2018","LO","ELC","SF8","ATX",0.146399999999988
"2018","LO","ELC","SF9","ATX",0.146399999999988
"2018","LO","ELC","SF10","ATX",0.146399999999988
"2018","LO","ELC","SF11","ATX",0.146399999999988
"2018","LO","ELC","SF12","ATX",0.146399999999988
"2018","LO","ELC","SF13","ATX",0.146399999999988
"2018","LO","ELC","SF14","ATX",0.146399999999988
"2018","LO","ELC","SF15","ATX",0.146399999999988
"2018","LO","ELC","SF16","ATX",0.146399999999988
"2018","LO","ELC","SF17","ATX",0.146399999999988
"2018","LO","ELC","SF18","ATX",0.146399999999988
"2018","LO","ELC","SF19","ATX",0.146399999999988
"2018","LO","ELC","SF20","ATX",0.146399999999988
"2018","LO","ELC","SF21","ATX",0.146399999999988
"2018","LO","ELC","SF22","ATX",0.146399999999988
"2018","LO","ELC","SF23","ATX",0.146399999999988
"2018","LO","ELC","SF24","ATX",0.146399999999988
"2018","LO","ELC","S1","ATX",0.0743999999999941
"2018","LO","ELC","S2","ATX",0.0743999999999941
"2018","LO","ELC","S3","ATX",0.0743999999999941
"2018","LO","ELC","S4","ATX",0.0743999999999941
"2018","LO","ELC","S5","ATX",0.0743999999999941
"2018","LO","ELC","S6","ATX",0.0743999999999941
"2018","LO","ELC","S7","ATX",0.0743999999999941
"2018","LO","ELC","S8","ATX",0.0743999999999941
"2018","LO","ELC","S9","ATX",0.0743999999999941
"2018","LO","ELC","S10","ATX",0.0743999999999941
"2018","LO","ELC","S11","ATX",0.0743999999999941
"2018","LO","ELC","S12","ATX",0.0743999999999941
"2018","LO","ELC","S13","ATX",0.0743999999999941
"2018","LO","ELC","S14","ATX",0.0743999999999941
"2018","LO","ELC","S15","ATX",0.0743999999999941
"2018","LO","ELC","S16","ATX",0.0743999999999941
"2018","LO","ELC","S17","ATX",0.0743999999999941
"2018","LO","ELC","S18","ATX",0.0743999999999941
"2018","LO","ELC","S19","ATX",0.0743999999999941
"2018","LO","ELC","S20","ATX",0.0743999999999941
"2018","LO","ELC","S21","ATX",0.0743999999999941
"2018","LO","ELC","S22","ATX",0.0743999999999941
"2018","LO","ELC","S23","ATX",0.0743999999999941
"2018","LO","ELC","S24","ATX",0.0743999999999941
"2018","MED","ELC","W1","ATX",0.0711999999999943
"2018","MED","ELC","W2","ATX",0.0711999999999943
"2018","MED","ELC","W3","ATX",0.0711999999999943
"2018","MED","ELC","W4","ATX",0.0711999999999943
"2018","MED","ELC","W5","ATX",0.0711999999999943
"2018","MED","ELC","W6","ATX",0.0711999999999943
"2018","MED","ELC","W7","ATX",0.0711999999999943
"2018","MED","ELC","W8","ATX",0.0711999999999943
"2018","MED","ELC","W9","ATX",0.0711999999999943
"2018","MED","ELC","W10","ATX",0.0711999999999943
"2018","MED","ELC","W11","ATX",0.0711999999999943
"2018","MED","ELC","W12","ATX",0.0711999999999943
"2018","MED","ELC","W13","ATX",0.0711999999999943
"2018","MED","ELC","W14","ATX",0.0711999999999943
"2018","MED","ELC","W15","ATX",0.0711999999999943
"2018","MED","ELC","W16","ATX",0.0711999999999943
"2018","MED","ELC","W17","ATX",0.0711999999999943
"2018","MED","ELC","W18","ATX",0.0711999999999943
"2018","MED","ELC","W19","ATX",0.0711999999999943
"2018","MED","ELC","W20","ATX",0.0711999999999943
"2018","MED","ELC","W21","ATX",0.0711999999999943
"2018","MED","ELC","W22","ATX",0.0711999999999943
"2018","MED","ELC","W23","ATX",0.0711999999999943
"2018","MED","ELC","W24","ATX",0.0711999999999943
"2018","MED","ELC","SF1","ATX",0.146399999999988
"2018","MED","ELC","SF2","ATX",0.146399999999988
"2018","MED","ELC","SF3","ATX",0.146399999999988
"2018","MED","ELC","SF4","ATX",0.146399999999988
"2018","MED","ELC","SF5","ATX",0.146399999999988
"2018","MED","ELC","SF6","ATX",0.146399999999988
"2018","MED","ELC","SF7","ATX",0.146399999999988
"2018","MED","ELC","SF8","ATX",0.146399999999988
"2018","MED","ELC","SF9","ATX",0.146399999999988
"2018","MED","ELC","SF10","ATX",0.146399999999988
"2018","MED","ELC","SF11","ATX",0.146399999999988
"2018","MED","ELC","SF12","ATX",0.146399999999988
"2018","MED","ELC","SF13","ATX",0.146399999999988
"2018","MED","ELC","SF14","ATX",0.146399999999988
"2018","MED","ELC","SF15","ATX",0.146399999999988
"2018","MED","ELC","SF16","ATX",0.146399999999988
"2018","MED","ELC","SF17","ATX",0.146399999999988
"2018","MED","ELC","SF18","ATX",0.146399999999988
"2018","MED","ELC","SF19","ATX",0.146399999999988
"2018","MED","ELC","SF20","ATX",0.146399999999988
"2018","MED","ELC","SF21","ATX",0.146399999999988
"2018","MED","ELC","SF22","ATX",0.146399999999988
"2018","MED","ELC","SF23","ATX",0.146399999999988
"2018","MED","ELC","SF24","ATX",0.146399999999988
"2018","MED","ELC","S1","ATX",0.0743999999999941
"2018","MED","ELC","S2","ATX",0.0743999999999941
"2018","MED","ELC","S3","ATX",0.0743999999999941
"2018","MED","ELC","S4","ATX",0.0743999999999941
"2018","MED","ELC","S5","ATX",0.0743999999999941
"2018","MED","ELC","S6","ATX",0.0743999999999941
"2018","MED","ELC","S7","ATX",0.0743999999999941
"2018","MED","ELC","S8","ATX",0.0743999999999941
"2018","MED","ELC","S9","ATX",0.0743999999999941
"2018","MED","ELC","S10","ATX",0.0743999999999941
"2018","MED","ELC","S11","ATX",0.0743999999999941
"2018","MED","ELC","S12","ATX",0.0743999999999941
"2018","MED","ELC","S13","ATX",0.0743999999999941
"2018","MED","ELC","S14","ATX",0.0743999999999941
"2018","MED","ELC","S15","ATX",0.0743999999999941
"2018","MED","ELC","S16","ATX",0.0743999999999941
"2018","MED","ELC","S17","ATX",0.0743999999999941
"2018","MED","ELC","S18","ATX",0.0743999999999941
"2018","MED","ELC","S19","ATX",0.0743999999999941
"2018","MED","ELC","S20","ATX",0.0743999999999941
"2018","MED","ELC","S21","ATX",0.0743999999999941
"2018","MED","ELC","S22","ATX",0.0743999999999941
"2018","MED","ELC","S23","ATX",0.0743999999999941
"2018","MED","ELC","S24","ATX",0.0743999999999941
"2018","HI","ELC","W1","ATX",0.0711999999999943
"2018","HI","ELC","W2","ATX",0.0711999999999943
"2018","HI","ELC","W3","ATX",0.0711999999999943
"2018","HI","ELC","W4","ATX",0.0711999999999943
"2018","HI","ELC","W5","ATX",0.0711999999999943
"2018","HI","ELC","W6","ATX",0.0711999999999943
"2018","HI","ELC","W7","ATX",0.0711999999999943
"2018","HI","ELC","W8","ATX",0.0711999999999943
"2018","HI","ELC","W9","ATX",0.0711999999999943
"2018","HI","ELC","W10","ATX",0.0711999999999943
"2018","HI","ELC","W11","ATX",0.0711999999999943
"2018","HI","ELC","W12","ATX",0.0711999999999943
"2018","HI","ELC","W13","ATX",0.0711999999999943
"2018","HI","ELC","W14","ATX",0.0711999999999943
"2018","HI","ELC","W15","ATX",0.0711999999999943
"2018","HI","ELC","W16","ATX",0.0711999999999943
"2018","HI","ELC","W17","ATX",0.0711999999999943
"2018","HI","ELC","W18","ATX",0.0711999999999943
"2018","HI","ELC","W19","ATX",0.0711999999999943
"2018","HI","ELC","W20","ATX",0.0711999999999943
"2018","HI","ELC","W21","ATX",0.0711999999999943
"2018","HI","ELC","W22","ATX",0.0711999999999943
"2018","HI","ELC","W23","ATX",0.0711999999999943
"2018","HI","ELC","W24","ATX",0.0711999999999943
"2018","HI","ELC","SF1","ATX",0.146399999999988
"2018","HI","ELC","SF2","ATX",0.146399999999988
"2018","HI","ELC","SF3","ATX",0.146399999999988
"2018","HI","ELC","SF4","ATX",0.146399999999988
"2018","HI","ELC","SF5","ATX",0.146399999999988
"2018","HI","ELC","SF6","ATX",0.146399999999988
"2018","HI","ELC","SF7","ATX",0.146399999999988
"2018","HI","ELC","SF8","ATX",0.146399999999988
"2018","HI","ELC","SF9","ATX",0.146399999999988
"2018","HI","ELC","SF10","ATX",0.146399999999988
"2018","HI","ELC","SF11","ATX",0.146399999999988
"2018","HI","ELC","SF12","ATX",0.146399999999988
"2018","HI","ELC","SF13","ATX",0.146399999999988
"2018","HI","ELC","SF14","ATX",0.146399999999988
"2018","HI","ELC","SF15","ATX",0.146399999999988
"2018","HI","ELC","SF16","ATX",0.146399999999988
"2018","HI","ELC","SF17","ATX",0.146399999999988
"2018","HI","ELC","SF18","ATX",0.146399999999988
"2018","HI","ELC","SF19","ATX",0.146399999999988
"2018","HI","ELC","SF20","ATX",0.146399999999988
"2018","HI","ELC","SF21","ATX",0.146399999999988
"2018","HI","ELC","SF22","ATX",0.146399999999988
"2018","HI","ELC","SF23","ATX",0.146399999999988
"2018","HI","ELC","SF24","ATX",0.146399999999988
"2018","HI","ELC","S1","ATX",0.0743999999999941
"2018","HI","ELC","S2","ATX",0.0743999999999941
"2018","HI","ELC","S3","ATX",0.0743999999999941
"2018","HI","ELC","S4","ATX",0.0743999999999941
"2018","HI","ELC","S5","ATX",0.0743999999999941
"2018","HI","ELC","S6","ATX",0.0743999999999941
"2018","HI","ELC","S7","ATX",0.0743999999999941
"2018","HI","ELC","S8","ATX",0.0743999999999941
"2018","HI","ELC","S9","ATX",0.0743999999999941
"2018","HI","ELC","S10","ATX",0.0743999999999941
"2018","HI","ELC","S11","ATX",0.0743999999999941
"2018","HI","ELC","S12","ATX",0.0743999999999941
"2018","HI","ELC","S13","ATX",0.0743999999999941
"2018","HI","ELC","S14","ATX",0.0743999999999941
"2018","HI","ELC","S15","ATX",0.0743999999999941
"2018","HI","ELC","S16","ATX",0.0743999999999941
"2018","HI","ELC","S17","ATX",0.0743999999999941
"2018","HI","ELC","S18","ATX",0.0743999999999941
"2018","HI","ELC","S19","ATX",0.0743999999999941
"2018","HI","ELC","S20","ATX",0.0743999999999941
"2018","HI","ELC","S21","ATX",0.0743999999999941
"2018","HI","ELC","S22","ATX",0.0743999999999941
"2018","HI","ELC","S23","ATX",0.0743999999999941
"2018","HI","ELC","S24","ATX",0.0743999999999941
"2019","LO","ELC","W1","ATX",0.0729799999999941
"2019","LO","ELC","W2","ATX",0.0729799999999941
"2019","LO","ELC","W3","ATX",0.0729799999999941
"2019","LO","ELC","W4","ATX",0.0729799999999941
"2019","LO","ELC","W5","ATX",0.0729799999999941
"2019","LO","ELC","W6","ATX",0.0729799999999941
"2019","LO","ELC","W7","ATX",0.0729799999999941
"2019","LO","ELC","W8","ATX",0.0729799999999941
"2019","LO","ELC","W9","ATX",0.0729799999999941
"2019","LO","ELC","W10","ATX",0.0729799999999941
"2019","LO","ELC","W11","ATX",0.0729799999999941
"2019","LO","ELC","W12","ATX",0.0729799999999941
"2019","LO","ELC","W13","ATX",0.0729799999999941
"2019","LO","ELC","W14","ATX",0.0729799999999941
"2019","LO","ELC","W15","ATX",0.0729799999999941
"2019","LO","ELC","W16","ATX",0.0729799999999941
"2019","LO","ELC","W17","ATX",0.0729799999999941
"2019","LO","ELC","W18","ATX",0.0729799999999941
"2019","LO","ELC","W19","ATX",0.0729799999999941
"2019","LO","ELC","W20","ATX",0.0729799999999941
"2019","LO","ELC","W21","ATX",0.0729799999999941
"2019","LO","ELC","W22","ATX",0.0729799999999941
"2019","LO","ELC","W23","ATX",0.0729799999999941
"2019","LO","ELC","W24","ATX",0.0729799999999941
"2019","LO","ELC","SF1","ATX",0.150059999999988
"2019","LO","ELC","SF2","ATX",0.150059999999988
"2019","LO","ELC","SF3","ATX",0.150059999999988
"2019","LO","ELC","SF4","ATX",0.150059999999988
"2019","LO","ELC","SF5","ATX",0.150059999999988
"2019","LO","ELC","SF6","ATX",0.150059999999988
"2019","LO","ELC","SF7","ATX",0.150059999999988
"2019","LO","ELC","SF8","ATX",0.150059999999988
"2019","LO","ELC","SF9","ATX",0.150059999999988
"2019","LO","ELC","SF10","ATX",0.150059999999988
"2019","LO","ELC","SF11","ATX",0.150059999999988
"2019","LO","ELC","SF12","ATX",0.150059999999988
"2019","LO","ELC","SF13","ATX",0.150059999999988
"2019","LO","ELC","SF14","ATX",0.150059999999988
"2019","LO","ELC","SF15","ATX",0.150059999999988
"2019","LO","ELC","SF16","ATX",0.150059999999988
"2019","LO","ELC","SF17","ATX",0.150059999999988
"2019","LO","ELC","SF18","ATX",0.150059999999988
"2019","LO","ELC","SF19","ATX",0.150059999999988
"2019","LO","ELC","SF20","ATX",0.150059999999988
"2019","LO","ELC","SF21","ATX",0.150059999999988
"2019","LO","ELC","SF22","ATX",0.150059999999988
"2019","LO","ELC","SF23","ATX",0.150059999999988
"2019","LO","ELC","SF24","ATX",0.150059999999988
"2019","LO","ELC","S1","ATX",0.0762599999999939
"2019","LO","ELC","S2","ATX",0.0762599999999939
"2019","LO","ELC","S3","ATX",0.0762599999999939
"2019","LO","ELC","S4","ATX",0.0762599999999939
"2019","LO","ELC","S5","ATX",0.0762599999999939
"2019","LO","ELC","S6","ATX",0.0762599999999939
"2019","LO","ELC","S7","ATX",0.0762599999999939
